Samples;decimalLongitude;decimalLatitude;Mussismilia_hispida
Deserta_06_04_2011/Filmagem_Raso_10/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_11/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_12/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_13/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_14/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_15/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_2/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_3/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_4/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_5/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_6/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_7/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_8/;-48.331675;-27.264465;0
Deserta_06_04_2011/Filmagem_Raso_9/;-48.331675;-27.264465;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_1/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_10/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_11/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_12/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_13/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_14/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_2/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_3/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_4/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_5/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_6/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_7/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_8/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Fundo_9/;-48.368482;-27.277044;0
Saco_dAgua_05-04-2011/Filmagem_Raso_1/;-48.368482;-27.277044;0
